timestamp_utc,timestamp_local,segment_id,current_speed_kmh,free_flow_speed_kmh,current_travel_time_s,free_flow_travel_time_s,confidence,road_closure,error
2026-07-06T12:53:55Z,2026-07-06T08:53:55-0400,417_kanata,111,111,68,68,1,False,
2026-07-06T12:53:55Z,2026-07-06T08:53:55-0400,417_pinecrest,27,41,100,66,1,False,
2026-07-06T12:53:55Z,2026-07-06T08:53:55-0400,417_downtown,55,103,467,249,1,False,
2026-07-06T12:53:55Z,2026-07-06T08:53:55-0400,417_vanier,31,43,280,202,1,False,
2026-07-06T12:53:55Z,2026-07-06T08:53:55-0400,417_orleans,48,58,85,71,1,False,
2026-07-06T12:53:55Z,2026-07-06T08:53:55-0400,417_stlaurent,106,106,52,52,1,False,
2026-07-06T12:53:55Z,2026-07-06T08:53:55-0400,416_barrhaven,37,48,229,176,1,False,
2026-07-06T12:53:55Z,2026-07-06T08:53:55-0400,queensway_bridge,24,34,254,179,1,False,
2026-07-06T12:53:55Z,2026-07-06T08:53:55-0400,airport_pkwy,56,56,24,24,1,False,
2026-07-06T12:53:55Z,2026-07-06T08:53:55-0400,bronson_carling,44,44,338,338,1,False,
2026-07-06T12:53:55Z,2026-07-06T08:53:55-0400,bank_billings,30,52,131,75,0.997012,False,
2026-07-06T12:53:55Z,2026-07-06T08:53:55-0400,innes_blair,105,105,32,32,1,False,
2026-07-06T12:53:55Z,2026-07-06T08:53:55-0400,march_kanata,60,69,97,84,1,False,
2026-07-06T12:53:55Z,2026-07-06T08:53:55-0400,woodroffe_base,32,44,234,170,1,False,
2026-07-06T12:53:55Z,2026-07-06T08:53:55-0400,merivale_base,53,53,131,131,1,False,
2026-07-06T16:14:53Z,2026-07-06T12:14:53-0400,417_kanata,111,111,68,68,1,False,
2026-07-06T16:14:53Z,2026-07-06T12:14:53-0400,417_pinecrest,41,41,66,66,1,False,
2026-07-06T16:14:53Z,2026-07-06T12:14:53-0400,417_downtown,57,104,451,247,1,False,
2026-07-06T16:14:53Z,2026-07-06T12:14:53-0400,417_vanier,30,43,289,202,1,False,
2026-07-06T16:14:53Z,2026-07-06T12:14:53-0400,417_orleans,48,58,85,71,1,False,
2026-07-06T16:14:53Z,2026-07-06T12:14:53-0400,417_stlaurent,106,106,52,52,1,False,
2026-07-06T16:14:53Z,2026-07-06T12:14:53-0400,416_barrhaven,34,48,249,176,1,False,
2026-07-06T16:14:53Z,2026-07-06T12:14:53-0400,queensway_bridge,35,35,174,174,1,False,
2026-07-06T16:14:53Z,2026-07-06T12:14:53-0400,airport_pkwy,56,56,24,24,1,False,
2026-07-06T16:14:53Z,2026-07-06T12:14:53-0400,bronson_carling,44,44,338,338,1,False,
2026-07-06T16:14:53Z,2026-07-06T12:14:53-0400,bank_billings,32,52,122,75,0.994659,False,
2026-07-06T16:14:53Z,2026-07-06T12:14:53-0400,innes_blair,105,105,32,32,1,False,
2026-07-06T16:14:53Z,2026-07-06T12:14:53-0400,march_kanata,45,68,129,86,1,False,
2026-07-06T16:14:53Z,2026-07-06T12:14:53-0400,woodroffe_base,42,42,178,178,1,False,
2026-07-06T16:14:53Z,2026-07-06T12:14:53-0400,merivale_base,53,53,131,131,1,False,
2026-07-07T11:54:53Z,2026-07-07T07:54:53-0400,417_kanata,111,111,68,68,1,False,
2026-07-07T11:54:53Z,2026-07-07T07:54:53-0400,417_pinecrest,41,41,66,66,1,False,
2026-07-07T11:54:53Z,2026-07-07T07:54:53-0400,417_downtown,56,103,459,249,1,False,
2026-07-07T11:54:53Z,2026-07-07T07:54:53-0400,417_vanier,32,43,271,202,1,False,
2026-07-07T11:54:53Z,2026-07-07T07:54:53-0400,417_orleans,44,57,93,72,1,False,
2026-07-07T11:54:53Z,2026-07-07T07:54:53-0400,417_stlaurent,106,106,52,52,1,False,
2026-07-07T11:54:53Z,2026-07-07T07:54:53-0400,416_barrhaven,48,48,176,176,1,False,
2026-07-07T11:54:53Z,2026-07-07T07:54:53-0400,queensway_bridge,24,34,254,179,1,False,
2026-07-07T11:54:53Z,2026-07-07T07:54:53-0400,airport_pkwy,56,56,24,24,1,False,
2026-07-07T11:54:53Z,2026-07-07T07:54:53-0400,bronson_carling,44,44,338,338,1,False,
2026-07-07T11:54:53Z,2026-07-07T07:54:53-0400,bank_billings,14,54,280,72,1,False,
2026-07-07T11:54:53Z,2026-07-07T07:54:53-0400,innes_blair,105,105,32,32,1,False,
2026-07-07T11:54:53Z,2026-07-07T07:54:53-0400,march_kanata,69,69,84,84,1,False,
