timestamp_utc,timestamp_local,group,lots_reporting,capacity_total,free_total,occupancy_pct,error
2026-07-25T12:17:14Z,2026-07-25T08:17:14-0400,all,5,1959,1070,45.4,
2026-07-25T12:17:14Z,2026-07-25T08:17:14-0400,downtown,4,1813,959,47.1,
2026-07-26T16:00:18Z,2026-07-26T12:00:18-0400,all,5,1959,821,58.1,
2026-07-26T16:00:18Z,2026-07-26T12:00:18-0400,downtown,4,1813,744,59.0,
2026-07-26T17:00:18Z,2026-07-26T13:00:18-0400,all,5,1959,728,62.8,
2026-07-26T17:00:18Z,2026-07-26T13:00:18-0400,downtown,4,1813,667,63.2,
2026-07-26T18:00:18Z,2026-07-26T14:00:18-0400,all,5,1959,681,65.2,
2026-07-26T18:00:18Z,2026-07-26T14:00:18-0400,downtown,4,1813,647,64.3,
2026-07-26T19:00:18Z,2026-07-26T15:00:18-0400,all,5,1959,661,66.3,
2026-07-26T19:00:18Z,2026-07-26T15:00:18-0400,downtown,4,1813,627,65.4,
2026-07-26T20:00:22Z,2026-07-26T16:00:22-0400,all,5,1959,746,61.9,
2026-07-26T20:00:22Z,2026-07-26T16:00:22-0400,downtown,4,1813,703,61.2,
2026-07-26T21:00:17Z,2026-07-26T17:00:17-0400,all,5,1959,843,57.0,
2026-07-26T21:00:17Z,2026-07-26T17:00:17-0400,downtown,4,1813,767,57.7,
2026-07-26T22:00:19Z,2026-07-26T18:00:19-0400,all,5,1959,864,55.9,
2026-07-26T22:00:19Z,2026-07-26T18:00:19-0400,downtown,4,1813,759,58.1,
2026-07-26T23:00:18Z,2026-07-26T19:00:18-0400,all,5,1959,905,53.8,
2026-07-26T23:00:18Z,2026-07-26T19:00:18-0400,downtown,4,1813,795,56.2,
2026-07-27T00:00:18Z,2026-07-26T20:00:18-0400,all,5,1959,887,54.7,
2026-07-27T00:00:18Z,2026-07-26T20:00:18-0400,downtown,4,1813,775,57.3,
2026-07-27T01:00:18Z,2026-07-26T21:00:18-0400,all,5,1959,930,52.5,
2026-07-27T01:00:18Z,2026-07-26T21:00:18-0400,downtown,4,1813,815,55.0,
2026-07-27T02:00:18Z,2026-07-26T22:00:18-0400,all,5,1959,1027,47.6,
2026-07-27T02:00:18Z,2026-07-26T22:00:18-0400,downtown,4,1813,913,49.6,
2026-07-27T03:00:18Z,2026-07-26T23:00:18-0400,all,5,1959,1116,43.0,
2026-07-27T03:00:18Z,2026-07-26T23:00:18-0400,downtown,4,1813,999,44.9,
2026-07-27T04:00:18Z,2026-07-27T00:00:18-0400,all,5,1959,1159,40.8,
2026-07-27T04:00:18Z,2026-07-27T00:00:18-0400,downtown,4,1813,1042,42.5,
2026-07-27T05:00:18Z,2026-07-27T01:00:18-0400,all,5,1959,1171,40.2,
2026-07-27T05:00:18Z,2026-07-27T01:00:18-0400,downtown,4,1813,1054,41.9,
2026-07-27T06:00:18Z,2026-07-27T02:00:18-0400,all,5,1959,1184,39.6,
2026-07-27T06:00:18Z,2026-07-27T02:00:18-0400,downtown,4,1813,1068,41.1,
2026-07-27T07:00:17Z,2026-07-27T03:00:17-0400,all,5,1959,1199,38.8,
